section,stock_group,stock,area,n
Groundfish SAFEs,groundfish,Rex sole,BSAI/GOA,11
Groundfish SAFEs,groundfish,Rougheye/blackspotted complex,BSAI/GOA,11
Groundfish SAFEs,groundfish,Shallow-water flatfish,BSAI/GOA,11
Groundfish SAFEs,groundfish,Sharks,BSAI/GOA,11
Groundfish SAFEs,groundfish,Thornyheads,BSAI/GOA,11
Groundfish SAFEs,groundfish,Other rockfish,BSAI/GOA,10
Groundfish SAFEs,groundfish,Pollock,BSAI/GOA,10
Groundfish SAFEs,groundfish,Shortraker rockfish,BSAI/GOA,10
Groundfish SAFEs,groundfish,Skates,BSAI/GOA,10
Groundfish SAFEs,groundfish,Forage fish,NA,8
Groundfish SAFEs,groundfish,Northern rock sole,BSAI/GOA,8
Groundfish SAFEs,groundfish,Pacific cod,GOA,8
Groundfish SAFEs,groundfish,Rex sole,NA,8
Groundfish SAFEs,groundfish,Thornyheads,NA,8
Groundfish SAFEs,groundfish,Deep-water flatfish,NA,7
Groundfish SAFEs,groundfish,Greenland turbot,BSAI,7
Groundfish SAFEs,groundfish,Shallow-water flatfish,NA,7
Groundfish SAFEs,groundfish,Thornyheads,GOA,7
Crab SAFEs,crab,Pribilof Islands blue king crab,NA,6
Groundfish SAFEs,groundfish,Other rockfish,BSAI,6
Groundfish SAFEs,groundfish,Pacific ocean perch,BSAI,6
Crab SAFEs,crab,Aleutian Islands golden king crab,NA,5
Crab SAFEs,crab,Norton Sound red king crab,NA,5
Groundfish SAFEs,groundfish,Arrowtooth flounder,BSAI,5
Groundfish SAFEs,groundfish,Arrowtooth flounder,GOA,5
Groundfish SAFEs,groundfish,Atka mackerel,BSAI,5
Groundfish SAFEs,groundfish,Atka mackerel,GOA,5
Groundfish SAFEs,groundfish,Flathead sole,BSAI,5
Groundfish SAFEs,groundfish,Other flatfish,BSAI,5
Groundfish SAFEs,other,Halibut discard mortality rates,NA,5
2025 Groundfish SAFEs,groundfish,Pacific cod,GOA,4
Crab SAFEs,crab,Pribilof Islands red king crab,NA,4
Groundfish SAFEs,groundfish,Forage fish,BSAI/GOA,4
Groundfish SAFEs,groundfish,Northern rockfish,GOA,4
Cook Inlet Salmon SAFEs,salmon,Cook Inlet salmon,Cook Inlet,3
Crab SAFEs,crab,Saint Matthew Island blue king crab,NA,3
Groundfish SAFEs,groundfish,Alaska plaice,BSAI,3
Groundfish SAFEs,groundfish,Demersal shelf rockfish,GOA,3
Groundfish SAFEs,groundfish,Dusky rockfish,NA,3
Groundfish SAFEs,groundfish,Flathead sole,GOA,3
Groundfish SAFEs,groundfish,Grenadier,BSAI/GOA,3
Groundfish SAFEs,groundfish,Northern rockfish,BSAI,3
Groundfish SAFEs,groundfish,Pacific ocean perch,GOA,3
Groundfish SAFEs,groundfish,Shortraker rockfish,BSAI,3
Groundfish SAFEs,groundfish,Shortraker rockfish,GOA,3
Groundfish SAFEs,groundfish,Skates,GOA,3
Crab SAFEs,crab,Eastern Bering Sea snow crab,NA,2
Crab SAFEs,crab,Pribilof Islands golden king crab,NA,2
Groundfish SAFEs,groundfish,Rex sole,GOA,2
Groundfish SAFEs,groundfish,Sharks,BSAI,2
2025 Groundfish SAFEs,groundfish,Alaska plaice,BSAI,1
2025 Groundfish SAFEs,groundfish,Arrowtooth flounder,BSAI,1
2025 Groundfish SAFEs,groundfish,Arrowtooth flounder,GOA,1
2025 Groundfish SAFEs,groundfish,Atka mackerel,BSAI,1
2025 Groundfish SAFEs,groundfish,Atka mackerel,GOA,1
2025 Groundfish SAFEs,groundfish,Deep-water flatfish,GOA,1
2025 Groundfish SAFEs,groundfish,Demersal shelf rockfish,GOA,1
2025 Groundfish SAFEs,groundfish,Dusky rockfish,GOA,1
2025 Groundfish SAFEs,groundfish,Flathead sole,BSAI,1
2025 Groundfish SAFEs,groundfish,Flathead sole,GOA,1
2025 Groundfish SAFEs,groundfish,Greenland turbot,BSAI,1
2025 Groundfish SAFEs,groundfish,Kamchatka flounder,BSAI,1
2025 Groundfish SAFEs,groundfish,Northern rock sole,BSAI,1
2025 Groundfish SAFEs,groundfish,Northern rockfish,BSAI,1
2025 Groundfish SAFEs,groundfish,Northern rockfish,GOA,1
2025 Groundfish SAFEs,groundfish,Octopus,BSAI,1
2025 Groundfish SAFEs,groundfish,Octopus,GOA,1
2025 Groundfish SAFEs,groundfish,Other flatfish,BSAI,1
2025 Groundfish SAFEs,groundfish,Other rockfish,BSAI,1
2025 Groundfish SAFEs,groundfish,Other rockfish,GOA,1
2025 Groundfish SAFEs,groundfish,Pacific cod,BSAI,1
2025 Groundfish SAFEs,groundfish,Pacific ocean perch,BSAI,1
2025 Groundfish SAFEs,groundfish,Pacific ocean perch,GOA,1
2025 Groundfish SAFEs,groundfish,Pollock,BSAI,1
2025 Groundfish SAFEs,groundfish,Pollock,GOA,1
2025 Groundfish SAFEs,groundfish,Rex sole,GOA,1
2025 Groundfish SAFEs,groundfish,Rougheye/blackspotted complex,BSAI,1
2025 Groundfish SAFEs,groundfish,Rougheye/blackspotted complex,GOA,1
2025 Groundfish SAFEs,groundfish,Sablefish,BSAI,1
2025 Groundfish SAFEs,groundfish,Sablefish,GOA,1
2025 Groundfish SAFEs,groundfish,Shallow-water flatfish,GOA,1
2025 Groundfish SAFEs,groundfish,Sharks,BSAI,1
2025 Groundfish SAFEs,groundfish,Sharks,GOA,1
2025 Groundfish SAFEs,groundfish,Shortraker rockfish,BSAI,1
2025 Groundfish SAFEs,groundfish,Shortraker rockfish,GOA,1
2025 Groundfish SAFEs,groundfish,Skates,BSAI,1
2025 Groundfish SAFEs,groundfish,Skates,GOA,1
2025 Groundfish SAFEs,groundfish,Thornyheads,GOA,1
2025 Groundfish SAFEs,groundfish,Yellowfin sole,BSAI,1
2025 Groundfish SAFEs,other,Halibut discard mortality rates,NA,1
Crab SAFEs,crab,Aleutian Islands golden king crab,BSAI,1
Crab SAFEs,crab,Tanner crab,NA,1
Crab SAFEs,crab,West Aleutian Islands red king crab,BSAI,1
Crab SAFEs,crab,West Aleutian Islands red king crab,NA,1
Groundfish SAFEs,groundfish,Demersal shelf rockfish,BSAI/GOA,1
Groundfish SAFEs,groundfish,Dusky rockfish,GOA,1
Groundfish SAFEs,groundfish,Forage fish,GOA,1
Groundfish SAFEs,other,Halibut discard mortality rates,GOA,1
